CustomerID,Monetary,Frequency,Product_Diversity,Recency,Avg_Spend_Trans,Homeware,Stationery,Gadgets,Decorations,Kitchenware,Other,Target_Monetary,Recency_scaled,Frequency_scaled,Monetary_scaled,PC1,PC2
12346,77183.6,1,1,226,77183.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.7324410739095224,-0.43702147841935235,12.651925513729381,6.596301824327042,7.591453713528815
12347,2790.86,5,82,30,558.172,1.4619149652795196,11.770565345449077,17.340891338153835,0.0,11.860143468321594,57.56648488279599,1519.14,-0.8232658605614075,0.27909572247826003,0.20271043182012455,0.6712852988222231,-0.5756267705103663
12348,1487.24,3,22,149,495.7466666666666,0.0,19.768161157580487,0.0,4.276377719803126,18.154433716145345,57.80102740647105,310.0,0.7284133496530857,-0.07896287797054616,-0.015443191303295087,-0.38351607273312316,0.6112132933744107
12350,334.4,1,17,211,334.4,0.0,0.0,0.0,0.0,11.842105263157894,88.15789473684211,0.0,1.536851257495931,-0.43702147841935235,-0.20836461233212483,-1.0946495821842457,1.1683599817614665
12352,1561.81,5,26,163,312.362,5.334195580768468,0.0,2.176961346130452,1.1333004654855587,10.257329636767595,81.09821297084792,944.23,0.9109638449724379,0.27909572247826003,-0.0029643127372149516,-0.21938474531407787,0.8222668784233329
12353,89.0,1,4,105,89.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.1546832215065504,-0.43702147841935235,-0.24943095000298535,-0.5087603031122468,-0.045439333010562445
12354,1079.4,1,58,133,1079.4,0.0,5.130628126737076,1.8343524180100053,4.646099685010191,12.724661849175469,75.66425792106726,0.0,0.5197842121452547,-0.43702147841935235,-0.0836929678138238,-0.5698522420826311,0.3505124086334639
12355,459.4,1,13,115,459.4,20.962124510230733,0.0,0.0,0.0,25.032651284283848,54.00522420548541,0.0,0.2850764324489448,-0.43702147841935235,-0.18744655117133607,-0.5288902072945936,0.09732992317291597
12356,2753.08,2,53,146,1376.54,7.082976157612565,6.354700916791376,0.0,0.0,38.65706772051666,47.9052552050794,58.35,0.6892953863703674,-0.25799217819494924,0.1963881570148877,-0.3567476985901033,0.6567877782884592
12358,484.86,1,12,51,484.86,3.687662418017572,0.0,0.0,0.0,17.815451883017776,78.49688569896465,683.2,-0.5494401175823793,-0.43702147841935235,-0.18318596047410662,-0.15757424949464877,-0.621399974189311
12359,3495.73,3,135,90,1165.243333333333,0.965463579853135,1.1413924988485955,0.9726151619261212,1.089901107923095,19.469467035497598,76.36116061595146,2876.85,-0.04090659490704117,-0.07896287797054616,0.3206665419833659,0.15968084174941705,0.11017935724348867
12360,1618.28,2,63,13,809.14,0.0,5.824702770843118,0.0,0.0,14.444966260474082,79.7303309686828,1043.78,-1.044934319163478,-0.25799217819494924,0.006485630572782986,0.2946934771577107,-0.9334811479751113
12361,189.9,1,10,188,189.9,0.0,0.0,0.0,0.0,10.42654028436019,89.57345971563981,0.0,1.2369468723284238,-0.43702147841935235,-0.23254589103399664,-0.9767577293684172,0.8975620776479531
12362,1747.35,4,89,21,436.8375,0.8584427847883938,3.8423899047128502,0.8584427847883938,2.26628895184136,17.87163418891464,74.30280138495435,3478.88,-0.9406197504095625,0.10006642225385692,0.028084783804967022,0.4989096836675165,-0.7855674108392635
12363,552.0,2,23,10,276.0,21.73913043478261,9.456521739130434,0.0,24.68478260869565,26.913043478260867,17.206521739130434,0.0,-1.0840522824461962,-0.25799217819494924,-0.17195045146342378,0.20406732755874502,-1.0540449323790264
12364,623.92,1,34,13,623.92,19.23323503013207,21.49314014617259,0.0,11.091165534042826,23.60879599948712,24.57366329016541,689.18,-1.044934319163478,-0.43702147841935235,-0.15991503579395236,0.07543802475191448,-1.0380590884556842
12365,641.38,2,22,192,320.69,5.410209236334155,2.712900308709345,1.54354672736911,0.0,1.9879010882784,88.34544263930898,0.0,1.2891041567053816,-0.25799217819494924,-0.15699320101101338,-0.8354896056051982,1.0030093756790017
12370,2806.41,3,125,175,935.47,15.44678076261131,0.7821380340007341,11.15482057147744,11.495469300636756,8.838694274892124,52.28209705638164,739.28,1.067435698103311,-0.07896287797054616,0.2053126386285266,-0.39981237558844507,1.0113959968926995
12372,914.92,2,32,113,457.46,0.0,1.6394876054737026,0.0,0.0,15.214444978795957,83.14606741573033,383.12,0.25899779026046593,-0.25799217819494924,-0.11121778941163611,-0.352643911168572,0.13553082825035662
12373,364.6,1,14,212,364.6,0.0,0.0,0.0,0.0,5.430608886450904,94.5693911135491,0.0,1.5498905785901702,-0.43702147841935235,-0.2033108087556783,-1.0973548015763057,1.1820802532363885
